Index,Latitude,Longitude
1,32.056042,34.772888
2,32.106991,34.828602
3,32.116852,34.792351
4,32.042252,34.75264
5,32.02832,34.781879
6,32.094719,34.781422
7,32.04179,34.749088
8,32.075401,34.800781
9,32.02832,34.781879
10,32.033058,34.753269
11,32.102539,34.785412
12,32.117409,34.812439
13,32.119091,34.79805
14,32.108269,34.790218
15,32.088482,34.78503
16,32.095661,34.796322
17,32.072208,34.784451
18,32.122639,34.799461
19,32.067261,34.797691
20,32.016731,34.74493
21,32.06921,34.784531
22,32.075481,34.778069
23,32.044788,34.809738
24,32.06044,34.797279
25,32.067211,34.7677
26,32.111698,34.819641
27,32.04319,34.780529
28,32.056591,34.765148
29,32.159081,34.841141
30,32.051262,34.796329
31,32.040279,34.768269
32,32.02832,34.781879
33,32.080898,34.784821
34,32.05114,34.79409
35,32.043831,34.764709
36,32.1278,34.833179
37,32.051601,34.757061
38,32.089039,34.78159
39,32.039539,34.76059
40,32.046741,34.748631
41,32.092129,34.785091
42,32.039669,34.759998
43,32.110161,34.834122
44,32.101349,34.7841
45,32.044102,34.753239
46,32.04792,34.800919
47,32.082134,34.781483
48,32.047459,34.755852
49,32.052441,34.762218
50,32.11282,34.81472
51,32.05629,34.791592
52,32.02832,34.781879
53,32.095242,34.788921
54,32.1702,34.837818
55,32.11586,34.842369
56,32.114079,34.785648
57,32.122639,34.795139
58,32.114578,34.797661
59,32.122299,34.817348
60,32.02832,34.781879
61,32.061089,34.803371
62,32.068859,34.801769
63,32.02832,34.781879
64,32.125881,34.794529
65,32.061249,34.783749
66,32.051182,34.776211
67,32.127918,34.801991
68,32.120449,34.806198
69,32.052799,34.781712
70,32.053539,34.81031
71,32.081032,34.8433
72,32.079231,34.771702
73,32.062111,34.831661
74,32.060619,34.833382
75,32.08601,34.818409
76,32.088379,34.81311
77,32.061138,34.825272
78,32.08485,34.806561
79,32.081089,34.82473
80,32.09325,34.820702
81,32.080429,34.806332
82,32.05452,34.8484
83,32.079174,34.821777
84,32.08007,34.809341
85,32.056011,34.84742
86,32.07233,34.82716
87,32.06818,34.834862
88,32.051491,34.819969
89,32.093269,34.811089
90,32.075169,34.82642
91,32.062469,34.835571
92,32.069679,34.82336
93,32.066639,34.816959
94,32.05452,34.816799
95,32.067074,34.846191
96,30.902941,34.860794
97,32.090179,34.81522
98,32.07835,34.825249
99,32.05904,34.832039
100,32.067249,34.83279
101,32.08128,34.807621
102,32.05394,34.831841
103,32.071732,34.823292
104,32.054111,34.83231
105,32.05344,34.815472
106,32.06628,34.831032
107,32.053921,34.831749
108,32.067619,34.828449
109,32.047699,34.81625
110,32.084259,34.769501
111,32.079342,34.811489
112,32.07692,34.816429
113,32.839119,35.091042
114,32.073608,34.812222
115,32.071072,34.81179
116,32.05949,34.814548
117,32.05006,34.778111
118,32.07222,34.809799
119,32.093491,34.832211
120,32.083271,34.84346
121,32.093491,34.832211
122,32.083698,34.8391
123,32.082161,34.843151
124,32.084759,34.843559
125,32.08046,34.838409
126,32.081001,34.835522
127,32.073662,34.84016
128,32.0947,34.843262
129,32.087502,34.842789
130,32.091251,34.831581
131,32.09174,34.832539
132,32.082932,34.838211
133,32.071152,34.838509
134,32.077358,34.842258
135,32.093498,34.83279
136,32.078419,34.836441
137,32.095459,34.830269
138,32.078369,34.83292
139,32.083649,34.829762
140,32.08556,34.842251
141,32.07169,34.841549
142,32.079079,34.83189
143,32.098579,34.837551
144,32.098869,34.844238
145,32.088329,34.827751
146,32.099739,34.842369
147,32.08783,34.831429
148,32.093971,34.8298
149,32.07967,34.828011
150,32.09713,34.840969
151,32.09438,34.82949
152,32.09349,34.83221
153,31.96429,34.82276
154,31.9685,34.8122
155,31.9899,34.75342
156,31.95598,34.80521
157,31.963551,34.807751
158,31.951811,34.816231
159,31.951481,34.810741
160,31.9681,34.809261
161,31.959431,34.807152
162,31.960329,34.813568
163,31.96595,34.815361
164,31.957199,34.823341
165,31.97094,34.815281
166,31.968901,34.821831
167,31.98621,34.80513
168,31.956461,34.799709
169,31.967661,34.795231
170,31.958309,34.793968
171,31.96356,34.791302
